-----根进度图片-----,---根进度图片--
bedrock,基岩
bone_block_side,骨块侧面
bookshelf,书架
brewing_stand_base,酿造台
brick,砖块
chorus_flower,紫颂花
chorus_flower_dead,死亡的紫颂花
chorus_plant,紫颂花茎部
clay,粘土
coal_block,煤炭块
coal_ore,煤矿石
coarse_dirt,砂土
cobblestone,圆石
concrete_black,黑色混凝土
concrete_blue,蓝色混凝土
concrete_brown,棕色混凝土
concrete_cyan,青色混凝土
concrete_gray,灰色混凝土
concrete_green,绿色混凝土
concrete_light_blue,淡蓝色混凝土
concrete_lime,橙色混凝土
concrete_magenta,品红色混凝土
concrete_orange,橙色混凝土
concrete_pink,粉色混凝土
concrete_powder_black,黑色混凝土粉末
concrete_powder_blue,蓝色混凝土粉末
concrete_powder_brown,棕色混凝土粉末
concrete_powder_cyan,青色混凝土粉末
concrete_powder_gray,灰色混凝土粉末
concrete_powder_green,绿色混凝土粉末
concrete_powder_light_blue,淡蓝色混凝土粉末
concrete_powder_lime,黄绿色混凝土粉末
concrete_powder_magenta,品红色混凝土粉末
concrete_powder_orange,橙色混凝土粉末
concrete_powder_pink,粉色混凝土粉末
concrete_powder_purple,紫色混凝土粉末
concrete_powder_red,红色混凝土粉末
concrete_powder_silver,灰色混凝土粉末
concrete_powder_white,白色混凝土粉末
concrete_powder_yellow,黄色混凝土粉末
concrete_purple,紫色混凝土
concrete_red,红色混凝土
concrete_silver,灰色混凝土
concrete_white,白色混凝土
concrete_yellow,黄色混凝土
crafting_table_front,工作台正面
crafting_table_side,工作台侧面
diamond_block,钻石块
diamond_ore,钻石矿石
dirt,泥土
dirt_podzol_side,灰化土侧面
dirt_podzol_top,灰化土顶面
dragon_egg,龙蛋
dropper_front_horizontal,水平漏斗正面
dropper_front_vertical,垂直漏斗正面
emerald_block,绿宝石块
emerald_ore,绿宝石矿石
enchanting_table_bottom,附魔台底面
end_bricks,末地砖
end_stone,末地石
farmland_dry,干耕地
farmland_wet,湿耕地
frosted_ice_0,霜冰0
frosted_ice_1,霜冰1
frosted_ice_2,霜冰2
frosted_ice_3,霜冰3
furnace_front_off,熔炉熄灭时正面
furnace_front_on,熔炉燃烧时正面
furnace_side,熔炉侧面
glass,玻璃
glass_black,黑色染色玻璃
glass_blue,蓝色染色玻璃
glass_brown,棕色染色玻璃
glass_cyan,青色染色玻璃
glass_gray,灰色染色玻璃
glass_green,绿色染色玻璃
glass_light_blue,淡蓝色染色玻璃
glass_lime,黄绿色染色玻璃
glass_magenta,品红色染色玻璃
glass_orange,橙色染色玻璃
glass_pink,粉色染色玻璃
glass_purple,紫色染色玻璃
glass_red,红色染色玻璃
glass_silver,灰色染色玻璃
glass_white,白色染色玻璃
glass_yellow,黄色染色玻璃
glazed_terracotta_black,黑色带釉陶瓦
glazed_terracotta_blue,蓝色带釉陶瓦
glazed_terracotta_brown,棕色带釉陶瓦
glazed_terracotta_cyan,青色带釉陶瓦
glazed_terracotta_gray,灰色带釉陶瓦
glazed_terracotta_green,绿色带釉陶瓦
glazed_terracotta_light_blue,淡蓝色带釉陶瓦
glazed_terracotta_lime,黄绿色带釉陶瓦
glazed_terracotta_magenta,品红色带釉陶瓦
glazed_terracotta_orange,橙色带釉陶瓦
glazed_terracotta_pink,粉色带釉陶瓦
glazed_terracotta_purple,紫色带釉陶瓦
glazed_terracotta_red,红色带釉陶瓦
glazed_terracotta_silver,灰色带釉陶瓦
glazed_terracotta_white,白色带釉陶瓦
glazed_terracotta_yellow,黄色带釉陶瓦
glowstone,萤石
gold_block,金块
gold_ore,金矿石
grass_path_side,路径侧面
grass_path_top,路径顶面
grass_side,草方块侧面
grass_side_snowed,有积雪的草方块侧面
grass_top,草方块顶面
gravel,沙砾
hardened_clay,陶瓦
hardened_clay_stained_black,黑色陶瓦
hardened_clay_stained_blue,蓝色陶瓦
hardened_clay_stained_brown,棕色陶瓦
hardened_clay_stained_cyan,青色陶瓦
hardened_clay_stained_gray,灰色陶瓦
hardened_clay_stained_green,绿色陶瓦
hardened_clay_stained_light_blue,淡蓝色陶瓦
hardened_clay_stained_lime,黄绿色陶瓦
hardened_clay_stained_magenta,品红色陶瓦
hardened_clay_stained_orange,橙色陶瓦
hardened_clay_stained_pink,粉色陶瓦
hardened_clay_stained_purple,紫色陶瓦
hardened_clay_stained_red,红色陶瓦
hardened_clay_stained_silver,灰色陶瓦
hardened_clay_stained_white,白色陶瓦
hardened_clay_stained_yellow,黄色陶瓦
hay_block_side,干草块侧面
hay_block_top,干草块顶面
hopper_inside,漏斗内部
hopper_outside,漏斗外部
ice,冰
ice_packed,浮冰
iron_block,铁块
iron_ore,铁矿石
jukebox_side,唱片机侧面
lapis_block,青金石块
lapis_ore,青金石矿石
log_acacia,金合欢木
log_acacia_top,金合欢木顶面
log_big_oak,深色橡木
log_big_oak_top,深色橡木顶面
log_birch,白桦木
log_birch_top,白桦木顶面
log_jungle,从林木
log_jungle_top,从林木顶面
log_oak,橡木
log_oak_top,橡木顶面
log_spruce,云杉木
log_spruce_top,云杉木顶面
melon_side,西瓜侧面
mob_spawner,刷怪笼
mushroom_block_inside,巨型蘑菇内部
mushroom_block_skin_brown,棕色巨型蘑菇外部
mushroom_block_skin_red,红色巨型蘑菇外部
mushroom_block_skin_stem,巨型蘑菇杆
mycelium_side,菌丝侧面
mycelium_top,菌丝顶面
nether_brick,地狱砖
nether_wart_block,地狱疣块
netherrack,地狱岩
noteblock,音符盒
observer_front,侦测器正面
piston_side,活塞侧面
planks_acacia,金合欢木板
planks_big_oak,深色橡木木板
planks_birch,白桦木板
planks_jungle,丛林木板
planks_oak,橡木木板
planks_spruce,云杉木板
prismarine_bricks,海晶石砖
prismarine_dark,暗海晶石
pumpkin_face_off,灭的南瓜灯
pumpkin_face_on,亮的南瓜灯
pumpkin_side,南瓜侧面
pumpkin_top,南瓜顶面
purpur_block,紫珀块
purpur_pillar,竖纹紫珀块
purpur_pillar_top,竖纹紫珀块顶面
quartz_block_bottom,石英块底面
quartz_block_chiseled,錾制石英块
quartz_block_chiseled_top,錾制石英块顶面
quartz_block_lines,竖纹石英块
quartz_block_lines_top,竖纹石英块顶面
quartz_block_side,石英块侧面
quartz_block_top,石英块顶面
red_nether_brick,红色地狱砖
red_sand,红沙
red_sandstone_bottom,红砂岩底面
red_sandstone_carved,錾制红砂岩
red_sandstone_normal,红砂岩
red_sandstone_smooth,平滑红砂岩
red_sandstone_top,红砂岩顶面
redstone_block,红石块
redstone_dust_overlay,红石线
redstone_lamp_off,红石灯-关
redstone_lamp_on,红石灯-亮
redstone_ore,红石矿石
sand,沙子
sandstone_bottom,砂岩底面
sandstone_carved,錾制砂岩
sandstone_normal,砂岩
sandstone_smooth,平滑砂岩
sandstone_top,砂岩顶面
shulker_top_black,黑色潜影盒
shulker_top_blue,蓝色潜影盒
shulker_top_brown,棕色潜影盒
shulker_top_cyan,青色潜影盒
shulker_top_gray,灰色潜影盒
shulker_top_green,绿色潜影盒
shulker_top_light_blue,淡蓝色潜影盒
shulker_top_lime,黄绿色潜影盒
shulker_top_magenta,品红色潜影盒
shulker_top_orange,橙色潜影盒
shulker_top_pink,粉色潜影盒
shulker_top_purple,紫色潜影盒
shulker_top_red,红色潜影盒
shulker_top_silver,灰色潜影盒
shulker_top_white,白色潜影盒
shulker_top_yellow,黄色潜影盒
slime,粘液块
snow,雪
soul_sand,灵魂沙
sponge,干海绵
sponge_wet,湿海绵
stone,石头
stone_andesite,安山岩
stone_andesite_smooth,磨制安山岩
stone_diorite,闪长岩
stone_diorite_smooth,磨制闪长岩
stone_granite,花岗岩
stone_granite_smooth,磨制花岗岩
stone_slab_side,石台阶侧面
stone_slab_top,石台阶顶面
stonebrick,石砖
stonebrick_carved,錾制石砖
stonebrick_cracked,裂石砖
stonebrick_mossy,苔石砖
tnt_side,TNT侧面
wool_colored_black,黑色羊毛
wool_colored_blue,蓝色羊毛
wool_colored_brown,棕色羊毛
wool_colored_cyan,青色羊毛
wool_colored_gray,灰色羊毛
wool_colored_green,绿色羊毛
wool_colored_light_blue,淡蓝色羊毛
wool_colored_lime,黄绿色羊毛
wool_colored_magenta,品红色羊毛
wool_colored_orange,橙色羊毛
wool_colored_pink,粉色羊毛
wool_colored_purple,紫色羊毛
wool_colored_red,红色羊毛
wool_colored_silver,灰色羊毛
wool_colored_white,白色羊毛
wool_colored_yellow,黄色羊毛
-----配方列表-----,-----配方列表-----
