-----根进度图片-----,---根进度图片--,,-----配方列表-----,-----配方列表-----
bedrock,基岩,,minecraft:acacia_boat,金合欢船
bone_block_side,骨块侧面,,minecraft:acacia_door,金合欢门
bookshelf,书架,,minecraft:acacia_fence,金合欢栅栏
brewing_stand_base,酿造台,,minecraft:acacia_fence_gate,金合欢栅栏门
brick,砖块,,minecraft:acacia_planks,金合欢木板
chorus_flower,紫颂花,,minecraft:acacia_stairs,金合欢楼梯
chorus_flower_dead,死亡的紫颂花,,minecraft:acacia_wooden_slab,金合欢台阶侧面
chorus_plant,紫颂花植物植物茎部,,minecraft:activator_rail,激活铁轨
clay,粘土,,minecraft:andesite,安山岩
coal_block,煤炭块,,minecraft:anvil,铁砧
coal_ore,煤矿,,minecraft:armor_stand,盔甲架
coarse_dirt,砂土,,minecraft:armordye,染色皮革护甲
cobblestone,圆石,,minecraft:arrow,箭
concrete_black,黑色混凝土,,minecraft:banneraddpattern,旗帜添加图案
concrete_blue,蓝色混凝土,,minecraft:bannerduplicate,复制旗帜
concrete_brown,棕色混凝土,,minecraft:beacon,信标
concrete_cyan,青色混凝土,,minecraft:beetroot_soup,甜菜汤
concrete_gray,灰色混凝土,,minecraft:birch_boat,白桦木船
concrete_green,绿色混凝土,,minecraft:birch_door,白桦木门
concrete_light_blue,淡蓝色混凝土,,minecraft:birch_fence,白桦栅栏
concrete_lime,橙色混凝土,,minecraft:birch_fence_gate,白桦栅栏门
concrete_magenta,品红色混凝土,,minecraft:birch_planks,白桦木板
concrete_orange,橙色混泥土,,minecraft:birch_stairs,白桦楼梯
concrete_pink,粉色混泥土,,minecraft:birch_wooden_slab,白桦台阶
concrete_powder_black,黑色混泥土粉末,,minecraft:black_banner,黑旗帜
concrete_powder_blue,蓝色混泥土粉末,,minecraft:black_bed,黑色床
concrete_powder_brown,棕色混泥土粉末,,minecraft:black_bed_from_white_bed,由白色床做黑色床
